biomarker,correlation_type,neurotransmitter,receptor,region_type,n,rho,pvalue,pvalue_fdr,sig_fdr,ci_lower_95,ci_upper_95
t1t2,baseline_all,serotonin,5HTT,subcortical,19,0.8333,9e-06,5.6e-05,True,0.6007,0.9359
t1t2,baseline_all,glutamate,mGluR5,cortical,62,-0.5511,3e-06,1.4e-05,True,-0.7078,-0.3426
t1t2,baseline_all,glutamate,NMDA,cortical,62,0.1079,0.403835,0.647207,False,-0.1533,0.355
t1t2,baseline_all,glutamate,mGluR5,subcortical,19,-0.1175,0.631764,0.647207,False,-0.5531,0.3684
t1t2,baseline_all,glutamate,NMDA,subcortical,19,0.1123,0.647207,0.647207,False,-0.373,0.5493
t1t2,baseline_declining,dopamine,D1,cortical,62,-0.2606,0.040779,0.081559,False,-0.4851,-0.0039
t1t2,baseline_declining,dopamine,D2,cortical,62,-0.5875,1e-06,3e-06,True,-0.7337,-0.3894
t1t2,baseline_declining,dopamine,DAT,cortical,62,-0.2048,0.110312,0.140255,False,-0.4387,0.055
t1t2,baseline_declining,dopamine,D1,subcortical,19,0.2333,0.336357,0.336357,False,-0.2608,0.6306
t1t2,baseline_declining,dopamine,D2,subcortical,19,0.3719,0.116879,0.140255,False,-0.1135,0.714
t1t2,baseline_declining,dopamine,DAT,subcortical,19,0.5404,0.016919,0.050758,False,0.0996,0.8038
t1t2,baseline_declining,ach,VAChT,cortical,62,-0.2611,0.040378,0.121134,False,-0.4855,-0.0045
t1t2,baseline_declining,ach,M1,cortical,62,-0.2204,0.085162,0.141631,False,-0.4518,0.0387
t1t2,baseline_declining,ach,A4B2,cortical,62,-0.3215,0.010821,0.064928,False,-0.5343,-0.0704
t1t2,baseline_declining,ach,VAChT,subcortical,19,0.2667,0.269768,0.323722,False,-0.2274,0.6515
t1t2,baseline_declining,ach,M1,subcortical,19,-0.1316,0.591305,0.591305,False,-0.5629,0.356
t1t2,baseline_declining,ach,A4B2,subcortical,19,0.3947,0.094421,0.141631,False,-0.0871,0.7269
t1t2,baseline_declining,gaba,GABAa-bz,cortical,62,0.1344,0.297675,0.3969,False,-0.1269,0.3783
t1t2,baseline_declining,gaba,GABAa,cortical,62,0.0529,0.68298,0.68298,False,-0.2068,0.3057
t1t2,baseline_declining,gaba,GABAa-bz,subcortical,19,-0.5509,0.014508,0.029017,True,-0.8091,-0.1144
t1t2,baseline_declining,gaba,GABAa,subcortical,19,-0.7193,0.000518,0.002073,True,-0.8877,-0.3812
t1t2,baseline_declining,serotonin,5HT1a,cortical,62,-0.598,0.0,2e-06,True,-0.7411,-0.403
t1t2,baseline_declining,serotonin,5HT1b,cortical,62,-0.1031,0.425346,0.504143,False,-0.3507,0.158
t1t2,baseline_declining,serotonin,5HT2a,cortical,62,-0.2065,0.107302,0.214605,False,-0.4401,0.0532
t1t2,baseline_declining,serotonin,5HT4,cortical,62,-0.6404,0.0,0.0,True,-0.7705,-0.459
t1t2,baseline_declining,serotonin,5HT6,cortical,62,-0.178,0.166413,0.24962,False,-0.4159,0.0828
t1t2,baseline_declining,serotonin,5HTT,cortical,62,-0.0951,0.462131,0.504143,False,-0.3436,0.1659
t1t2,baseline_declining,serotonin,5HT1a,subcortical,19,-0.5404,0.016919,0.040607,True,-0.8038,-0.0996
t1t2,baseline_declining,serotonin,5HT1b,subcortical,19,0.5789,0.009396,0.028188,True,0.1549,0.8228
t1t2,baseline_declining,serotonin,5HT2a,subcortical,19,-0.3561,0.134506,0.230581,False,-0.705,0.1315
