label;region;5HT1a;5HT1b;5HT2a;5HT4;5HT6;5HTT;A4B2;D1;D2;DAT;GABAa-bz;GABAa;M1;NMDA;VAChT;mGluR5
2023;ctx-rh-posteriorcingulate;0,612635638;0,56966379;0,859722432;0,303956886;0,200746225;0,09952119;0,272452018;0,433028532;-0,370991717;-0,223896081;1,270593625;0,841198714;0,419404893;0,840097064;0,089108191;1,245577591
2024;ctx-rh-precentral;-0,00226658;0,69183817;0,435599773;-0,195948838;0,185239072;-0,610558347;0,292191115;-0,364792706;-0,42729877;-0,668086794;0,215846729;0,272607354;0,305546299;0,309720337;-0,186898825;0,393566757
2025;ctx-rh-precuneus;0,268917712;0,453371609;0,950128619;0,211770085;0,862926298;-0,37849599;0,069148829;0,098874896;-0,367769802;-0,541606555;1,084903892;1,116296968;0,76399912;0,711391845;-0,314508595;0,998142869
2026;ctx-rh-rostralanteriorcingulate;0,963905998;0,556913392;0,709066139;0,196482735;0,722994139;0,247200804;-0,153447266;0,570943178;-0,131305546;0,024393101;1,489558418;0,997248666;0,487456846;0,684688359;-0,100768355;1,251616157
2027;ctx-rh-rostralmiddlefrontal;0,439333837;1,158614181;1,016328363;0,185329813;0,144866062;-0,594078137;0,37274683;-0,175772185;-0,382740896;-0,691181424;0,519722641;0,679903909;0,79531234;-0,039633282;-0,364812505;0,711818916
2028;ctx-rh-superiorfrontal;0,464354503;0,788322344;0,842891274;0,055143782;0,393052005;-0,632434465;0,263469216;-0,145636958;-0,386604639;-0,798027226;0,415458761;0,551261011;0,501717116;-0,032761812;-0,3715169;0,674235039
2029;ctx-rh-superiorparietal;-0,08954224;0,19067292;0,517849306;0,05329374;-0,058630267;-0,771970793;-0,340649459;-0,50931144;-0,409577596;-0,885294601;0,167995433;0,35272134;0,434977142;-0,620619268;-0,493189184;0,178255255
2030;ctx-rh-superiortemporal;1,004701661;-0,045381027;0,757782185;0,376756197;0,41729177;0,02633299;-0,39955174;0,019624881;-0,073662742;-0,364673045;0,202047161;0,596651122;0,659523625;0,643788001;-0,237924742;0,741591056
2031;ctx-rh-supramarginal;0,373214451;0,5802705;0,890727307;0,475285067;-0,014878823;-0,595220992;-0,4364403;-0,152808146;-0,320724217;-0,601891072;0,467714883;0,5975634;0,548830753;-0,232164059;-0,337395402;0,800633027
2034;ctx-rh-transversetemporal;0,655585323;0,772931024;0,924629249;-0,020832065;0,778981638;0,25984161;0,313203771;0,379280026;-0,244840161;-0,089210017;1,536830737;0,940843784;0,766517657;1,881964873;0,110827171;1,101536467
2035;ctx-rh-insula;1,416408101;0,486158892;0,541086586;0,179185173;0,947541886;0,677017719;0,146373246;0,52652587;0,206297899;0,507661536;0,784922977;0,88030111;0,821865187;1,280393727;0,129493023;1,093321383
